Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Berowra,106,Beecroft North,Beecroft Community Hall,109-111 Beecroft Rd,,,BEECROFT,NSW,2119,-33.7513896,151.065481
NSW,Berowra,106,Berowra,Berowra Public School,2-4 Hillcrest Rd,,,BEROWRA,NSW,2081,-33.61786883,151.1470329
NSW,Berowra,106,Berowra Heights,Wideview Public School,37 Wideview Rd,,,BEROWRA HEIGHTS,NSW,2082,-33.60855608,151.1417104
NSW,Berowra,106,Brooklyn,Brooklyn Public School,106 Brooklyn Rd,,,BROOKLYN,NSW,2083,-33.54842526,151.2149815
NSW,Berowra,106,Carlingford Heights,Murray Farm Public School,18 Tracey Ave,,,CARLINGFORD,NSW,2118,-33.76597492,151.0397272
NSW,Berowra,106,Castle Hill North (Berowra),Samuel Gilbert Public School,20 Gilbert Rd,,,CASTLE HILL,NSW,2154,-33.71389605,150.9934038
NSW,Berowra,106,Cheltenham,Cheltenham Girls High School,161-175 Beecroft Rd,,,CHELTENHAM,NSW,2119,-33.75610777,151.0740913
NSW,Berowra,106,Cherrybrook,Cherrybrook Public School,131 New Line Rd,,,CHERRYBROOK,NSW,2126,-33.7314,151.042
NSW,Berowra,106,Cherrybrook Central,Cherrybrook Girl Guides Hall,cnr Shepherds Dr & Macquarie Dr,,,CHERRYBROOK,NSW,2126,-33.7205638,151.0459716
NSW,Berowra,106,Cherrybrook North,John Purchase Public School,46-60 Purchase Rd,,,CHERRYBROOK,NSW,2126,-33.7189973,151.0397793
NSW,Berowra,106,Cherrybrook South,West Pennant Hills Scout Hall,2 Wilga St,,,WEST PENNANT HILLS,NSW,2125,-33.73877035,151.0513727
NSW,Berowra,106,Cowan,Cowan Public School,cnr Fraser Rd & Chandler Ave,,,COWAN,NSW,2081,-33.58699683,151.1701845
NSW,Berowra,106,Dural,Dural Public School,622 Old Northern Rd,,,DURAL,NSW,2158,-33.68590655,151.026385
NSW,Berowra,106,Galston,Galston Public School,1-5 School Rd,,,GALSTON,NSW,2159,-33.648,151.045
NSW,Berowra,106,Glenhaven,Glenhaven Public School,74A Glenhaven Rd,,,GLENHAVEN,NSW,2156,-33.70130574,151.0038074
